neighborhood,date,level,zone
Downtown Houston,2017-08-26 04:00:00,7, Downtown Northwest
Kingwood,2017-08-26 04:00:00,3, Northeast
Meyerland,2017-08-26 04:00:00,7, South
River Oaks,2017-08-26 04:00:00,10, Downtown South
Midtown,2017-08-26 04:00:00,7, Downtown South
Chinatown,2017-08-26 04:00:00,8, South
Clear Lake,2017-08-26 04:00:00,4, South
Greater Third Ward,2017-08-26 04:00:00,1, Downtown South
Uptown,2017-08-26 04:00:00,8, Downtown South
Museum District,2017-08-26 04:00:00,5, Downtown South
Clear Lake City,2017-08-26 04:00:00,7, South
Memorial City,2017-08-26 04:00:00,1, Downtown Northwest
Afton Oaks,2017-08-26 04:00:00,4, Downtown South
Denver Harbor,2017-08-26 04:00:00,6, Northeast
Upper Kirby,2017-08-26 04:00:00,1, Downtown South
Shepherd Park Plaza,2017-08-26 04:00:00,3, Downtown Northwest
Independence Heights,2017-08-26 04:00:00,9, Downtown Northwest
Tomball,2017-08-26 04:00:00,7, North and West
Willow,2017-08-26 04:00:00,4, North and West
Hufsmith,2017-08-26 04:00:00,9, North and West
Downtown Houston,2017-08-26 07:40:00,6, Downtown Northwest
Kingwood,2017-08-26 07:40:00,4, Northeast
Meyerland,2017-08-26 07:40:00,2, South
River Oaks,2017-08-26 07:40:00,4, Downtown South
Midtown,2017-08-26 07:40:00,2, Downtown South
Chinatown,2017-08-26 07:40:00,10, South
Clear Lake,2017-08-26 07:40:00,3, South
Greater Third Ward,2017-08-26 07:40:00,6, Downtown South
Uptown,2017-08-26 07:40:00,0, Downtown South
Museum District,2017-08-26 07:40:00,10, Downtown South
Clear Lake City,2017-08-26 07:40:00,3, South
Memorial City,2017-08-26 07:40:00,5, Downtown Northwest
Afton Oaks,2017-08-26 07:40:00,8, Downtown South
Denver Harbor,2017-08-26 07:40:00,10, Northeast
Upper Kirby,2017-08-26 07:40:00,5, Downtown South
Shepherd Park Plaza,2017-08-26 07:40:00,8, Downtown Northwest
Independence Heights,2017-08-26 07:40:00,0, Downtown Northwest
Tomball,2017-08-26 07:40:00,2, North and West
Willow,2017-08-26 07:40:00,7, North and West
Hufsmith,2017-08-26 07:40:00,2, North and West
Downtown Houston,2017-08-26 11:20:00,2, Downtown Northwest
Kingwood,2017-08-26 11:20:00,10, Northeast
Meyerland,2017-08-26 11:20:00,6, South
River Oaks,2017-08-26 11:20:00,6, Downtown South
Midtown,2017-08-26 11:20:00,8, Downtown South
Chinatown,2017-08-26 11:20:00,9, South
Clear Lake,2017-08-26 11:20:00,7, South
Greater Third Ward,2017-08-26 11:20:00,8, Downtown South
Uptown,2017-08-26 11:20:00,9, Downtown South
Museum District,2017-08-26 11:20:00,6, Downtown South
Clear Lake City,2017-08-26 11:20:00,1, South
Memorial City,2017-08-26 11:20:00,4, Downtown Northwest
Afton Oaks,2017-08-26 11:20:00,2, Downtown South
Denver Harbor,2017-08-26 11:20:00,4, Northeast
Upper Kirby,2017-08-26 11:20:00,3, Downtown South
Shepherd Park Plaza,2017-08-26 11:20:00,10, Downtown Northwest
Independence Heights,2017-08-26 11:20:00,3, Downtown Northwest
Tomball,2017-08-26 11:20:00,6, North and West
Willow,2017-08-26 11:20:00,10, North and West
Hufsmith,2017-08-26 11:20:00,5, North and West
Downtown Houston,2017-08-26 15:00:00,5, Downtown Northwest
Kingwood,2017-08-26 15:00:00,1, Northeast
Meyerland,2017-08-26 15:00:00,1, South
River Oaks,2017-08-26 15:00:00,10, Downtown South
Midtown,2017-08-26 15:00:00,7, Downtown South
Chinatown,2017-08-26 15:00:00,2, South
Clear Lake,2017-08-26 15:00:00,0, South
Greater Third Ward,2017-08-26 15:00:00,0, Downtown South
Uptown,2017-08-26 15:00:00,8, Downtown South
Museum District,2017-08-26 15:00:00,3, Downtown South
Clear Lake City,2017-08-26 15:00:00,1, South
Memorial City,2017-08-26 15:00:00,10, Downtown Northwest
Afton Oaks,2017-08-26 15:00:00,5, Downtown South
Denver Harbor,2017-08-26 15:00:00,10, Northeast
Upper Kirby,2017-08-26 15:00:00,9, Downtown South
Shepherd Park Plaza,2017-08-26 15:00:00,1, Downtown Northwest
Independence Heights,2017-08-26 15:00:00,0, Downtown Northwest
Tomball,2017-08-26 15:00:00,5, North and West
Willow,2017-08-26 15:00:00,10, North and West
Hufsmith,2017-08-26 15:00:00,1, North and West
Downtown Houston,2017-08-26 18:40:00,4, Downtown Northwest
Kingwood,2017-08-26 18:40:00,6, Northeast
